LFwheelSpeed_mps,LRwheelSpeed_mps,RFwheelSpeed_mps,RRwheelSpeed_mps,brakePressureFL_bar,brakePressureFR_bar,brakePressureRL_bar,brakePressureRR_bar,engineTorque_Nm,roadWheelAngle_rad
0.40029736375593294,0.38886029622004914,0.4117344312918167,0.37742322868416533,0.4,0.4,0.1,0.1,42,-0.007256830575593055
0.40029736375593294,0.38886029622004914,0.4117344312918167,0.37742322868416533,0.4,0.4,0.1,0.1,42,-0.007256830575593055
0.40029736375593294,0.38886029622004914,0.4117344312918167,0.4231714988277005,0.4,0.4,0.1,0.1,42,-0.007256830575593055
0.40029736375593294,0.4317492994796134,0.4117344312918167,0.4231714988277005,0.4,0.4,0.1,0.1,42,-0.007256830575593055
0.4431863670154972,0.4317492994796134,0.4117344312918167,0.4231714988277005,0.4,0.4,0.1,0.1,42,-0.007256830575593055
0.4431863670154972,0.4317492994796134,0.45176416766741007,0.4231714988277005,0.4,0.4,0.1,0.1,42,-0.007256830575593055
0.4431863670154972,0.4317492994796134,0.45176416766741007,0.4231714988277005,0.4,0.4,0.1,0.1,42,-0.007256830575593055
0.4431863670154972,0.4317492994796134,0.45176416766741007,0.4603419683193229,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.4431863670154972,0.4689197689712358,0.45176416766741007,0.4603419683193229,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.4803568365071195,0.4689197689712358,0.45176416766741007,0.4603419683193229,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.4803568365071195,0.4689197689712358,0.48893463715903235,0.4603419683193229,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.4803568365071195,0.4689197689712358,0.48893463715903235,0.4603419683193229,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.4803568365071195,0.5032309715788871,0.48893463715903235,0.49465317092697425,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.5175273059987419,0.5032309715788871,0.48893463715903235,0.49465317092697425,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.5175273059987419,0.5032309715788871,0.5261051066506547,0.49465317092697425,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.5175273059987419,0.5032309715788871,0.5261051066506547,0.49465317092697425,0.30000000000000004,0.30000000000000004,0.1,0.1,42,-0.007256830575593055
0.5175273059987419,0.5346829073025676,0.5261051066506547,0.5318236404185966,0.30000000000000004,0.30000000000000004,0.0,0.0,42,-0.007256830575593055
0.5489792417224223,0.5346829073025676,0.5261051066506547,0.5318236404185966,0.30000000000000004,0.30000000000000004,0.0,0.0,44,-0.007256830575593055
0.5489792417224223,0.5346829073025676,0.5575570423743351,0.5318236404185966,0.2,0.2,0.0,0.0,44,-0.007256830575593055
0.5489792417224223,0.5346829073025676,0.5575570423743351,0.5318236404185966,0.2,0.2,0.0,0.0,44,-0.007256830575593055
0.5489792417224223,0.5689941099102189,0.5575570423743351,0.5604163092583061,0.2,0.2,0.0,0.0,46,-0.007256830575593055
0.5804311774461028,0.5689941099102189,0.5575570423743351,0.5604163092583061,0.2,0.2,0.0,0.0,47,-0.007256830575593055
0.5804311774461028,0.5689941099102189,0.5861497112140446,0.5604163092583061,0.2,0.2,0.0,0.0,48,-0.007256830575593055
0.5804311774461028,0.5689941099102189,0.5861497112140446,0.5604163092583061,0.2,0.2,0.0,0.0,49,-0.007256830575593055
0.5804311774461028,0.5975867787499284,0.5861497112140446,0.5890089780980157,0.2,0.2,0.0,0.0,50,-0.007256830575593055
0.6090238462858122,0.5975867787499284,0.5861497112140446,0.5890089780980157,0.2,0.2,0.0,0.0,51,-0.007256830575593055
0.6090238462858122,0.5975867787499284,0.6118831131697833,0.5890089780980157,0.2,0.2,0.0,0.0,51,-0.007256830575593055
0.6090238462858122,0.5975867787499284,0.6118831131697833,0.6176016469377251,0.2,0.2,0.0,0.0,50,-0.007256830575593055
0.6376165151255218,0.626179447589638,0.6118831131697833,0.6176016469377251,0.2,0.2,0.0,0.0,52,-0.007256830575593055
0.6376165151255218,0.626179447589638,0.6404757820094927,0.6176016469377251,0.2,0.2,0.0,0.0,53,-0.007256830575593055
0.6376165151255218,0.626179447589638,0.6404757820094927,0.6176016469377251,0.2,0.2,0.0,0.0,53,-0.007256830575593055
0.6376165151255218,0.6519128495453765,0.6404757820094927,0.6461943157774347,0.2,0.2,0.0,0.0,54,-0.007256830575593055
0.6604906501972894,0.6519128495453765,0.6633499170812602,0.6461943157774347,0.2,0.2,0.0,0.0,53,-0.007256830575593055
0.6604906501972894,0.6519128495453765,0.6633499170812602,0.6461943157774347,0.1,0.1,0.0,0.0,55,-0.007256830575593055
0.6604906501972894,0.677646251501115,0.6633499170812602,0.6719277177331732,0.1,0.1,0.0,0.0,55,-0.007256830575593055
0.683364785269057,0.677646251501115,0.6633499170812602,0.6719277177331732,0.1,0.1,0.0,0.0,54,-0.007256830575593055
0.683364785269057,0.677646251501115,0.6862240521530278,0.6719277177331732,0.1,0.1,0.0,0.0,55,-0.007256830575593055
0.683364785269057,0.677646251501115,0.6862240521530278,0.7005203865728827,0.1,0.1,0.0,0.0,56,-0.007256830575593055
0.7090981872247955,0.7005203865728827,0.6862240521530278,0.7005203865728827,0.1,0.1,0.0,0.0,53,-0.007256830575593055
0.7090981872247955,0.7005203865728827,0.7119574541087665,0.7005203865728827,0.1,0.1,0.0,0.0,55,-0.007256830575593055
