brakePressureFL_bar,brakePressureFR_bar,brakePressureRL_bar,brakePressureRR_bar,engineTorque_Nm,roadWheelAngle_rad
68.60000000000001,68.60000000000001,68.60000000000001,68.60000000000001,1,-0.002582939696397528
68.60000000000001,68.60000000000001,68.60000000000001,68.60000000000001,1,-0.002582939696397528
68.60000000000001,68.60000000000001,68.60000000000001,68.60000000000001,1,-0.002582939696397528
68.60000000000001,68.60000000000001,68.60000000000001,68.60000000000001,1,-0.002582939696397528
68.60000000000001,68.60000000000001,68.60000000000001,68.60000000000001,0,-0.002582939696397528
68.60000000000001,68.60000000000001,68.60000000000001,68.60000000000001,0,-0.002582939696397528
68.60000000000001,68.60000000000001,68.60000000000001,68.60000000000001,0,-0.002582939696397528
68.60000000000001,68.60000000000001,68.5,68.5,0,-0.002582939696397528
68.60000000000001,68.60000000000001,68.5,68.5,-1,-0.002582939696397528
68.5,68.5,68.5,68.5,-1,-0.002582939696397528
68.5,68.5,68.4,68.4,0,-0.002582939696397528
68.5,68.5,68.4,68.4,1,-0.002582939696397528
68.5,68.5,68.4,68.4,1,-0.002582939696397528
68.5,68.5,68.4,68.4,2,-0.002582939696397528
68.4,68.4,68.3,68.3,7,-0.002582939696397528
68.4,68.4,68.3,68.3,6,-0.002582939696397528
68.4,68.4,68.3,68.3,6,-0.002582939696397528
68.4,68.4,68.2,68.2,6,-0.002582939696397528
68.4,68.4,68.3,68.3,5,-0.002582939696397528
68.3,68.3,68.2,68.2,5,-0.002582939696397528
68.3,68.3,68.2,68.2,5,-0.002582939696397528
68.3,68.3,68.2,68.2,5,-0.002582939696397528
68.3,68.3,68.2,68.2,3,-0.002582939696397528
68.2,68.2,68.10000000000001,68.10000000000001,3,-0.002582939696397528
68.2,68.2,68.10000000000001,68.10000000000001,2,-0.002582939696397528
68.2,68.2,68.10000000000001,68.10000000000001,3,-0.002582939696397528
68.2,68.2,68.10000000000001,68.10000000000001,3,-0.002582939696397528
68.2,68.2,68.10000000000001,68.10000000000001,3,-0.002582939696397528
68.10000000000001,68.10000000000001,68.0,68.0,3,-0.002582939696397528
68.10000000000001,68.10000000000001,68.0,68.0,4,-0.002582939696397528
68.10000000000001,68.10000000000001,68.0,68.0,3,-0.002582939696397528
68.10000000000001,68.10000000000001,68.0,68.0,4,-0.002582939696397528
68.0,68.0,67.9,67.9,4,-0.002582939696397528
68.0,68.0,68.0,68.0,4,-0.002582939696397528
