axCG_mps2,ayCG_mps2,azCG_mps2,pitchAngle_rad,pitchRate_radps,rollAngle_rad,rollRate_radps,sideSlip_rad,vxCG_mps,vyCG_mps,yawAngle_rad,yawRate_radps
-0.03140261666021693,1.211995619205102,6.37,0.012391837689159739,0.0020943951023931952,-0.023911010752322315,-0.00017453292519943296,0.0,0.00012391520548033538,-0.0,-3.5128241854889874,0.0015707963267948964
-0.031614141763481964,-2.796736138279566,3.0300000000000002,0.012391837689159739,0.005934119456780721,-0.023911010752322315,0.0019198621771937625,0.0,0.00012391520548033538,-0.0,-3.5128241854889874,-0.0012217304763960308
0.057944532681523137,0.8521662786386985,15.99,0.012391837689159739,-0.012915436464758038,-0.023911010752322315,-0.003665191429188092,0.0,-0.0035034397558189453,0.009318812977621514,-3.5128241854889874,0.007330382858376184
-0.07794102339837483,3.2120685763685577,3.47,0.012391837689159739,0.00942477796076938,-0.023911010752322315,0.009075712110370514,0.0,-0.00337952455033861,0.009318812977621514,-3.5128241854889874,0.006108652381980154
-0.01416947303415007,-2.5658339227205813,7.67,0.012391837689159739,0.0015707963267948964,-0.023911010752322315,-0.005235987755982988,0.0,-0.0055668273325272175,-0.012946446460777283,-3.5128241854889874,-0.004363323129985824
0.04103518153749966,-2.169912083969847,12.94,0.012391837689159739,-0.0008726646259971648,-0.023911010752322315,0.0006981317007977319,0.0,-0.005690742538007553,-0.012946446460777283,-3.5128241854889874,-0.00890117918517108
-0.03726383406038668,1.3186004960145592,8.32,0.012391837689159739,0.0019198621771937625,-0.023911010752322315,0.004537856055185257,0.0,-0.0035034397558189453,0.009318812977621514,-3.5128241854889874,0.006108652381980154
0.017187916440596217,1.4622919774467573,14.33,0.012391837689159739,-0.005061454830783556,-0.023911010752322315,-0.009599310885968814,0.0,-0.0036273549612992804,0.009318812977621514,-3.5128241854889874,0.005061454830783556
0.0740552011903258,2.2650659200514855,15.71,0.012391837689159739,-0.007504915783575617,-0.023911010752322315,0.00034906585039886593,0.0,-0.00012391520548033538,-0.0,-3.5128241854889874,-0.0022689280275926286
0.016523416336564088,-6.306977595225792,9.25,0.012391837689159739,-0.0019198621771937625,-0.023911010752322315,0.0027925268031909274,0.0,-0.005690742538007553,-0.012946446460777283,-3.5128241854889874,-0.009075712110370514
-0.04238548064466795,4.811833839680081,5.57,0.012391837689159739,0.00471238898038469,-0.023911010752322315,0.00471238898038469,0.0,-0.0035034397558189453,0.009318812977621514,-3.5128241854889874,0.011344640137963142
0.01951387015867251,4.919884853253036,12.18,0.012391837689159739,0.0006981317007977319,-0.023911010752322315,-0.003665191429188092,0.0,-0.0036273549612992804,0.009318812977621514,-3.5128241854889874,0.00942477796076938
0.012872609090668596,-2.352891325903179,9.05,0.012391837689159739,0.0041887902047863905,-0.023911010752322315,-0.006283185307179586,0.0,-0.0035034397558189453,0.009318812977621514,-3.5128241854889874,0.0012217304763960308
0.0454045227714929,1.4895643889829946,13.38,0.012391837689159739,-0.014137166941154071,-0.023911010752322315,0.0015707963267948964,0.0,-0.0038751853722599513,0.009318812977621514,-3.5128241854889874,0.005235987755982988
0.022287767917383842,6.704335883073668,14.06,0.012391837689159739,-0.003665191429188092,-0.023911010752322315,-0.006283185307179586,0.0,-0.0055668273325272175,-0.012946446460777283,-3.5128241854889874,0.011344640137963142
-0.06450502065228342,-1.9734897381197642,4.43,0.012391837689159739,0.0153588974175501,-0.023911010752322315,-0.00942477796076938,0.0,-0.009070267088346164,-0.00362763348315577,-3.5128241854889874,-0.002617993877991494
0.0882861786850318,2.0738802696739005,15.24,0.012391837689159739,-0.007155849933176752,-0.023911010752322315,-0.00017453292519943296,0.0,-0.00337952455033861,0.009318812977621514,-3.5128241854889874,0.010821041362364843
-0.00499770938703647,1.4837256281290663,7.7,0.012391837689159739,-0.0,-0.023911010752322315,0.00471238898038469,0.0,0.0,-0.0,-3.5128241854889874,0.0029670597283903604
-0.01238786093895772,4.658257494705852,9.6,0.012391837689159739,0.0010471975511965976,-0.023911010752322315,-0.005061454830783556,0.0,-0.007254709922598561,0.01863762595524303,-3.5128241854889874,0.012217304763960308
0.04387985869120786,5.797854181019654,13.36,0.012391837689159739,-0.0015707963267948964,-0.023911010752322315,-0.007330382858376184,0.0,-0.0036273549612992804,0.009318812977621514,-3.5128241854889874,0.0054105206811824215
0.04394107310916204,-3.475384077679875,13.950000000000001,0.012391837689159739,-0.009599310885968814,-0.023911010752322315,-0.0006981317007977319,0.0,0.00012391520548033538,-0.0,-3.5128241854889874,-0.009773843811168246
-0.034574448968024044,-7.783045660013161,13.16,0.012391837689159739,-0.0012217304763960308,-0.023911010752322315,-0.0041887902047863905,0.0,-0.005690742538007553,-0.012946446460777283,-3.5128241854889874,-0.0054105206811824215
0.018427841258025653,4.536974395061664,12.89,0.012391837689159739,-0.006981317007977318,-0.023911010752322315,-0.0013962634015954637,0.0,-0.0055668273325272175,-0.012946446460777283,-3.5128241854889874,0.004363323129985824
0.0894924055799791,3.5759314132795876,16.18,0.012391837689159739,-0.0022689280275926286,-0.023911010752322315,-0.004886921905584123,0.0,0.0,-0.0,-3.5128241854889874,0.0019198621771937625
-0.05277462616163052,-5.721222346760621,4.48,0.012391837689159739,0.006108652381980154,-0.023911010752322315,0.00767944870877505,0.0,-0.003751270166779616,0.009318812977621514,-3.5128241854889874,-0.01064650843716541
-0.054262849244478654,-9.509410083042187,9.11,0.012391837689159739,-0.004537856055185257,-0.023911010752322315,-0.015009831567151233,0.0,-0.005690742538007553,-0.012946446460777283,-3.5128241854889874,-0.00890117918517108
