axCG_mps2,ayCG_mps2,sideSlip_rad,vxCG_mps,vyCG_mps,yawRate_radps
-0.04177881222717611,0.19930978378544906,0.0,0.006153737114115019,0.012836876701775536,0.0019198621771937625
-0.060970226221188036,0.9303796909418273,0.0,0.005825633055463795,0.012836876701775536,0.0033161255787892262
0.005077102881217691,0.3742294581933776,0.0,0.0,-0.0,-0.003839724354387525
-0.020809843190429177,5.988372783100254,0.0,-0.00010820830182076657,-0.0,0.009948376736367679
-0.08527605340563933,-1.8932621062756296,0.0,0.00010820830182076657,-0.0,-0.0024434609527920616
-0.01475219925295868,9.64979452105606,0.0,0.003236363224963649,-0.00938493022759556,0.0158824961931484
0.002476158748484081,-6.901725797042857,0.0,0.0034511418925978416,-0.009385532743699214,-0.009773843811168246
0.05220768700851286,-5.188662825049791,0.0,0.0025909077665074868,0.02222240944547475,-0.006108652381980154
-0.05811792505243824,-3.1075629392083925,0.0,0.00010820830182076657,-0.0,-0.004537856055185257
-0.15324946661797587,-9.049691502742236,0.0,-0.0010766507297318875,0.03160794218917396,-0.009250245035569947
0.005401004151748592,0.278009940094262,0.0,0.005825633055463795,0.012836876701775536,0.0027925268031909274
-0.03013593100409969,-8.90802373536244,0.0,-0.0008602341260903544,0.03160794218917396,-0.011693705988362009
-0.04217281476489731,1.1024662102099356,0.0,-0.00010820830182076657,-0.0,-0.003490658503988659
0.01098561700714369,2.462837963187496,0.0,-0.003342933590777075,0.009385532743699214,0.00820304748437335
0.0722281531202783,4.7099741091693685,0.0,0.0023744911628659536,0.02222240944547475,0.008377580409572781
0.0019523601634336238,3.632839165397109,0.0,-0.00010820830182076657,-0.0,0.005934119456780721
0.02794584065206995,1.8731480249896375,0.0,-0.0034527798286051823,0.00938493022759556,-0.0005235987755982988
0.07247040539814498,-4.262543675126114,0.0,0.0025909077665074868,0.02222240944547475,-0.005759586531581287
-0.0541310822862129,-6.8457613896878,0.0,0.0036691964322467154,-0.00938493022759556,-0.013788101090755204
0.028147189252030715,2.3932948307393036,0.0,0.003560988130425949,-0.00938493022759556,-0.005759586531581287
0.005451030691492778,-1.0223827826443093,0.0,0.006042049659105328,0.012836876701775536,0.005235987755982988
-0.011271342413299747,-0.019178989091848755,0.0,0.0,-0.0,-0.0012217304763960308
-0.018847437104828536,-3.556681137820389,0.0,0.00010820830182076657,-0.0,-0.003490658503988659
0.03330531471249082,-0.6813672464010112,0.0,0.0060398092422697825,0.012837912217580906,-0.0022689280275926286
0.03610843699127968,-0.41538038919512776,0.0,-0.00021641660364153314,-0.0,-0.003839724354387525
0.017327847625014315,2.770923037998748,0.0,0.005933841357284562,0.012836876701775536,0.008377580409572781
0.01528734219040682,5.19226677944261,0.0,0.0060398092422697825,0.012837912217580906,-0.0006981317007977319
-0.010988297913930805,10.905715560802522,0.0,0.006905559657210365,-0.01876986045519112,0.014660765716752368
-0.030191165435371946,1.0340397503566883,0.0,0.006042049659105328,0.012836876701775536,0.0022689280275926286
-0.03386906041657267,4.571390191660451,0.0,0.00010820830182076657,-0.0,0.006806784082777886
-0.00462351552740325,-2.8293826413069745,0.0,-0.00021641660364153314,-0.0,-0.006283185307179586
-0.0996756902897223,-4.412648421361345,0.0,0.002266282861045187,0.02222240944547475,-0.0020943951023931952
-0.023881530055824447,-7.4563308768694165,0.0,0.0034527798286051823,-0.00938493022759556,-0.011693705988362009
0.026916348415100353,1.9558920172934158,0.0,0.00010820830182076657,-0.0,0.0033161255787892262
0.03592532683729229,0.358955069183978,0.0,0.005825633055463795,0.012836876701775536,0.003141592653589793
0.043348172246465345,2.3447488478261116,0.0,0.00021641660364153314,-0.0,0.0029670597283903604
0.00037220300106937,-2.9192421588108997,0.0,-0.0034511418925978416,0.009385532743699214,-0.0005235987755982988
-0.001988239524744929,0.10712785813373149,0.0,0.00010820830182076657,-0.0,-0.0029670597283903604
0.011738985389562242,-4.181567571889643,0.0,0.0033445715267844157,-0.00938493022759556,-0.010995574287564275
-0.02595319632646265,5.2191060951119566,0.0,0.003236363224963649,-0.00938493022759556,0.0033161255787892262
-0.02012049320012976,-4.508150269241571,0.0,0.0,-0.0,-0.0027925268031909274
-0.001043866233440221,-6.107824434489445,0.0,0.002478821111843833,0.022222842445176468,-0.010995574287564275
0.029932917816659518,-1.011928815893278,0.0,-0.0034527798286051823,0.00938493022759556,-0.0
0.056327969024077267,-1.5719804854151767,0.0,-0.0033445715267844157,0.00938493022759556,-0.003839724354387525
0.04340366147762491,5.830972144053188,0.0,-0.0009739587167613485,0.031607772672772025,0.015009831567151233
-0.012320952656468686,-1.3169484294640428,0.0,0.005823392638628249,0.012837912217580906,0.0020943951023931952
-0.01983466810845353,-0.36784493942433494,0.0,0.00010820830182076657,-0.0,-0.003490658503988659
-0.030291707319235025,-9.207061167642546,0.0,0.00248269946468672,0.02222240944547475,-0.0153588974175501
-0.012226032495522692,1.9895061492742634,0.0,0.0060398092422697825,0.012837912217580906,0.005061454830783556
0.009941621438769576,1.8576506874094854,0.0,0.0,-0.0,0.003141592653589793
0.02896581508514161,6.720357106872321,0.0,0.00248269946468672,0.02222240944547475,0.010821041362364843
0.012632430887429573,1.1030467413902854,0.0,-0.0034527798286051823,0.00938493022759556,0.002617993877991494
-0.008505611860957397,-6.827968994961101,0.0,0.003560988130425949,-0.00938493022759556,-0.010122909661567111
0.02836060522884683,-4.223006786963369,0.0,0.0025909077665074868,0.02222240944547475,-0.0006981317007977319
0.041489176821716746,-2.597212588815705,0.0,-0.00010820830182076657,-0.0,-0.005235987755982988
0.02556718308489896,-2.5054317671409545,0.0,0.0060398092422697825,0.012837912217580906,-0.0022689280275926286
0.013154528425728668,-0.7933190745875783,0.0,0.005931600940449016,0.012837912217580906,-0.00034906585039886593
-0.01955761503042437,-2.0286302468123356,0.0,0.0060398092422697825,0.012837912217580906,-0.005235987755982988
-0.013041842421895827,0.283032249264937,0.0,0.005823392638628249,0.012837912217580906,0.002617993877991494
-0.00917627680763308,-5.768316852377564,0.0,0.0025870294136645998,0.022222842445176468,-0.003490658503988659
0.020811529445902092,-2.0355624741366256,0.0,0.0,-0.0,-0.005061454830783556
-0.032471065067121226,0.44363579902061645,0.0,0.005715184336807483,0.012837912217580906,0.003141592653589793
-0.020605325403967235,4.2761612737135275,0.0,0.0025870294136645998,0.022222842445176468,0.007504915783575617
-0.02806481944050404,0.2831561458519595,0.0,-0.00010820830182076657,-0.0,-0.0020943951023931952
-0.06066268021761267,-3.882220398141981,0.0,0.0,-0.0,-0.003490658503988659
-0.03111797246006026,-1.6839170616787453,0.0,0.0,-0.0,-0.008377580409572781
0.018007925274173203,-5.904316057979357,0.0,-0.00010820830182076657,-0.0,-0.005235987755982988
0.0059147297323504265,5.091102387539708,0.0,0.0033445715267844157,-0.00938493022759556,0.004886921905584123
-0.015926650615662386,-1.6734110591225126,0.0,0.00021641660364153314,-0.0,-0.0054105206811824215
